Sakushi Tadaruki
Sekishige Mazane
Kashitagi Sozane
Akigita Ichigumichi
Tamo Ataraku
Sumiwa Takehei
Nodera Takemio
Ichizuno Yutane
Komoyoshi Takeko
Kirigata Tamanmochi
Asayuki Maresake
Aine Junihiko
Miyagata Seigumi
Rakugimoto Yakamon
Oshiga Junisa
Yamata Tassai
Horimaya Akassai
Ashira Montake
Asaken Kanzabaru
Fubu Kegoro
Kazegita Hoshikiko
Inahoshi Kazushi
Akanishi Waki
Tatekawa Utsumami
Mizuyashi Tokura
Isoragi Gisami
Ebizuno Mitsura
Yasugiri Himesumi
Enasho Taninoue
Morikuda Ryonase
Ishinaha Yugisa
Enabira Izuyo
Iwamatsu Yutsu
Amimaya Ibutaru
Kanamatsu Ryubaru
Asashiba Hajikae
Yashibata Mainie
Kobamaya Hajika
Kagimoto Satsutaru
Nowa Akibasa
Kagugiri Shashisai
Kanayashi Akidao
Nakawata Takemei
Kawato Makoji
Mizukura Junikichi
Takese Jatake
Yamagaki Fumitsu
Ebisaka Hisamio
Manda Hirotoki
Furuga Fumiyaki
Motoshida Iritsuyo
Yoribi Amamiju
Sosari Tsukichi
Sakanobu Minetori
Ohasato Makini
Isekami Sakumachi
Oshiza Raisami
Katsura Asazume
Kashisaka Osatsuyo
Akuda Rukari
Yorihata Takassai
Rimura Katsumuku
Narizuma Nagashin
Nawara Kiyonori
Shirachi Baikao
Segishi Mareteru
Asata Motohashi
Yamatake Shinzamon
Rikigami Tsurasine
Kurinobu Yasutora
Yasusano Isazuki
Kanakuwa Sanari
Chitsuki Michinako
Oshiwara Ryoshi
Kinokino Ichinoue
Yamamo Marisa
Kodagome Sakudoka
Edasano Sayona
Migiri Michifumi
Hiroshiba Kozuka
Tahajima Yojuro
Furukaze Okikuro
Yorimi Yotsuya
Magawa Jotsugu
Hayasugi Tsugakasu
Rikinda Shinizan
Kuwanobu Junishiro
Hayaziwa Fukurio
Rikiya Nobumune
Konizumi Tokiyoshi
Yasusato Kyokasa
Okunari Chiasami
Konisho Asykari
Sakanaha Ibutsuyo
Haro Mayate
Horibuki Juri
Urahoshi Reimaki
Izubashi Hibiruka
Kikami Suchiyo
Uchifumi Tetsuo
